rank,conference,schls,w,l,w-l%,srs,sos,ap,ncaa,ff,regular_season_champ,tournament_champ,year
29,Big South Conference,11,181,179,0.503,-7.69,-5.41,0,1,0,"Charleston Southern, High Point",Coastal Carolina,2015
30,Ohio Valley Conference,12,190,192,0.497,-4.99,-3.44,0,1,0,"Belmont (East), Eastern Kentucky (East), Murray State (West)",Belmont,2015
31,Mid-Eastern Athletic Conference,13,171,251,0.405,-12.87,-7.36,0,1,0,North Carolina Central,Hampton,2015
32,Southwest Athletic Conference,10,120,198,0.377,-15.63,-8.87,0,1,0,Texas Southern,Texas Southern,2015
33,Southland Conference,13,196,207,0.486,-9.02,-5.7,0,1,0,Stephen F. Austin,Stephen F. Austin,2015
1,Pac-12 Conference,12,241,160,0.601,11.85,8.52,1,7,0,Oregon,Oregon,2016
2,Big East Conference,10,206,134,0.606,11.63,7.92,0,5,1,Villanova,Seton Hall,2016
3,Big 12 Conference,10,213,129,0.623,15.01,10.12,1,7,1,Kansas,Kansas,2016
4,West Coast Conference,10,170,152,0.528,2.04,1.59,0,1,0,"Gonzaga, Saint Mary's (CA)",Gonzaga,2016
5,Southeastern Conference,14,263,204,0.563,10.33,7.5,0,3,0,"Kentucky, Texas A&M",Kentucky,2016
6,Atlantic 10 Conference,14,260,203,0.562,4.96,3.51,0,3,0,"Dayton, St. Bonaventure, Virginia Commonwealth",Saint Joseph's,2016
7,Mid-American Conference,12,224,179,0.556,-0.4,-0.97,0,1,0,"Akron (East), Ball State (West), Central Michigan (West)",Buffalo,2016
8,Big Ten Conference,14,279,196,0.587,10.93,7.12,0,7,0,Indiana,Michigan State,2016
9,Conference USA,14,225,237,0.487,-4.13,-2.7,0,1,0,UAB,Middle Tennessee,2016
10,Southern Conference,10,170,165,0.507,-5.38,-3.4,0,1,0,Chattanooga,Chattanooga,2016
11,Western Athletic Conference,8,125,131,0.488,-6.66,-3.85,0,1,0,New Mexico State,Cal State Bakersfield,2016
12,Colonial Athletic Association,10,174,146,0.544,1.22,0.61,0,1,0,"Hofstra, UNC Wilmington",UNC Wilmington,2016
13,America East Conference,9,137,153,0.472,-8.83,-6.24,0,1,0,Stony Brook,Stony Brook,2016
14,American Athletic Conference,11,198,161,0.552,7.57,4.49,0,4,0,Temple,Connecticut,2016
15,Atlantic Sun Conference,8,124,142,0.466,-7.21,-4.07,0,1,0,North Florida,Florida Gulf Coast,2016
16,Atlantic Coast Conference,15,317,200,0.613,13.96,9.24,0,7,2,North Carolina,North Carolina,2016
17,Summit League,9,155,131,0.542,-2.15,-1.41,0,1,0,"Purdue-Fort Wayne, South Dakota State",South Dakota State,2016
18,Big West Conference,9,150,143,0.512,-0.72,0.08,0,1,0,"Hawaii, UC Irvine",Hawaii,2016
19,Big Sky Conference,12,181,203,0.471,-7.94,-5.05,0,1,0,Weber State,Weber State,2016
20,Mountain West Conference,11,203,165,0.552,2.88,2.28,0,1,0,San Diego State,Fresno State,2016
21,Metro Atlantic Athletic Conference,11,167,188,0.47,-4.51,-3.46,0,1,0,Monmouth,Iona,2016
22,Ohio Valley Conference,12,184,198,0.482,-5.41,-3.4,0,1,0,"Belmont (East), Murray State (West), Tennessee-Martin (West)",Austin Peay,2016
23,Sun Belt Conference,11,181,175,0.508,-2.91,-2.34,0,1,0,Little Rock,Little Rock,2016
24,Ivy League,8,123,113,0.521,-1.33,-1.85,0,1,0,Yale,,2016
25,Horizon League,10,168,163,0.508,-2.26,-0.91,0,1,0,Valparaiso,Green Bay,2016
26,Missouri Valley Conference,10,169,159,0.515,2.02,2.01,0,2,0,Wichita State,Northern Iowa,2016
27,Big South Conference,11,175,176,0.499,-6.54,-4.36,0,1,0,"High Point, Winthrop",UNC Asheville,2016
28,Southwest Athletic Conference,10,130,194,0.401,-13.98,-8.48,0,1,0,Texas Southern,Southern,2016
29,Southland Conference,13,186,221,0.457,-10.68,-6.56,0,1,0,Stephen F. Austin,Stephen F. Austin,2016
30,Patriot League,10,146,173,0.458,-8.55,-6.21,0,1,0,Bucknell,Holy Cross,2016
31,Mid-Eastern Athletic Conference,13,165,250,0.398,-14.26,-8.14,0,1,0,Hampton,Hampton,2016
32,Northeast Conference,10,133,182,0.422,-12.87,-8.79,0,1,0,Wagner,Fairleigh Dickinson,2016
1,Big 12 Conference,10,215,131,0.621,17.44,11.26,1,6,0,Kansas,Iowa State,2017
2,Pac-12 Conference,12,238,168,0.586,9.33,6.73,1,4,1,"Arizona, Oregon",Arizona,2017
3,Big East Conference,10,203,135,0.601,13.19,9.11,1,7,0,Villanova,Villanova,2017
4,Southeastern Conference,14,274,202,0.576,11.72,8.82,0,5,1,Kentucky,Kentucky,2017
5,Big Ten Conference,14,288,192,0.6,12.64,8.75,0,7,0,Purdue,Michigan,2017
6,American Athletic Conference,11,199,163,0.55,6.2,4.11,0,2,0,Southern Methodist,Southern Methodist,2017
7,West Coast Conference,10,184,147,0.556,3.01,1.94,0,2,1,Gonzaga,Gonzaga,2017
8,Atlantic 10 Conference,14,250,211,0.542,3.8,2.66,0,3,0,Dayton,Rhode Island,2017
9,Colonial Athletic Association,10,171,156,0.523,-1.22,-1.27,0,1,0,UNC Wilmington,UNC Wilmington,2017
10,Mid-American Conference,12,211,185,0.533,-1.26,-1.67,0,1,0,"Akron (East), Ball State (West), Western Michigan (West)",Kent State,2017
11,Western Athletic Conference,8,139,124,0.529,-4.37,-2.66,0,1,0,Cal State Bakersfield,New Mexico State,2017
12,Atlantic Sun Conference,8,131,131,0.5,-7.21,-4.85,0,1,0,Florida Gulf Coast,Florida Gulf Coast,2017
13,Atlantic Coast Conference,15,320,196,0.62,14.66,9.67,0,9,1,North Carolina,Duke,2017
14,Southern Conference,10,172,160,0.518,-3.6,-2.17,0,1,0,"East Tennessee State, Furman, UNC Greensboro",East Tennessee State,2017
15,America East Conference,9,148,147,0.502,-6.66,-5.01,0,1,0,Vermont,Vermont,2017
16,Conference USA,14,224,228,0.496,-3.26,-2.42,0,1,0,Middle Tennessee,Middle Tennessee,2017
17,Big Sky Conference,12,174,210,0.453,-7.72,-5.16,0,1,0,North Dakota,North Dakota,2017
18,Metro Atlantic Athletic Conference,11,179,186,0.49,-4.32,-3.32,0,1,0,Monmouth,Iona,2017
19,Missouri Valley Conference,10,172,155,0.526,3.48,2.62,0,1,0,"Illinois State, Wichita State",Wichita State,2017
20,Summit League,9,143,141,0.504,-3.3,-1.85,0,1,0,South Dakota,South Dakota State,2017
21,Mountain West Conference,11,202,162,0.555,2.95,1.92,0,1,0,Nevada,Nevada,2017
22,Horizon League,10,169,164,0.508,-3.63,-2.42,0,1,0,"Oakland, Valparaiso",Northern Kentucky,2017
23,Ivy League,8,111,117,0.487,-3.17,-2.5,0,1,0,Princeton,Princeton,2017
24,Sun Belt Conference,12,217,189,0.534,-2.8,-2.6,0,1,0,UT Arlington,Troy,2017
25,Big South Conference,10,160,165,0.492,-9.36,-6.04,0,1,0,"UNC Asheville, Winthrop",Winthrop,2017
26,Northeast Conference,10,133,186,0.417,-10.26,-6.52,0,1,0,Mount St. Mary's,Mount St. Mary's,2017
27,Patriot League,10,151,169,0.472,-5.0,-3.52,0,1,0,Bucknell,Bucknell,2017
28,Big West Conference,9,126,160,0.441,-7.63,-3.78,0,1,0,UC Irvine,UC Davis,2017
29,Ohio Valley Conference,12,182,196,0.481,-5.19,-3.34,0,1,0,"Belmont (East), Tennessee-Martin (West)",Jacksonville State,2017
30,Southland Conference,13,202,209,0.491,-9.35,-5.82,0,1,0,New Orleans,New Orleans,2017
31,Mid-Eastern Athletic Conference,13,156,259,0.376,-16.34,-9.42,0,1,0,North Carolina Central,North Carolina Central,2017
32,Southwest Athletic Conference,10,123,199,0.382,-17.06,-10.16,0,1,0,Texas Southern,Texas Southern,2017
1,Big East Conference,10,213,128,0.625,14.22,9.28,0,6,1,Xavier,Villanova,2018
2,Pac-12 Conference,12,231,172,0.573,8.61,6.15,1,3,0,Arizona,Arizona,2018
3,Big 12 Conference,10,220,130,0.629,15.16,9.83,0,7,1,Kansas,Kansas,2018
4,Southeastern Conference,14,286,193,0.597,13.0,9.34,0,8,0,"Auburn, Tennessee",Kentucky,2018
5,Atlantic 10 Conference,14,232,224,0.509,2.26,1.99,0,3,0,Rhode Island,Davidson,2018
6,Atlantic Coast Conference,15,315,200,0.612,13.38,8.51,0,9,0,Virginia,Virginia,2018
7,Big Ten Conference,14,289,189,0.605,13.01,7.99,0,4,1,Michigan State,Michigan,2018
8,West Coast Conference,10,180,159,0.531,1.83,1.43,0,1,0,Gonzaga,Gonzaga,2018
9,Conference USA,14,245,221,0.526,0.22,0.2,0,1,0,Middle Tennessee,Marshall,2018
10,American Athletic Conference,12,224,168,0.571,5.58,3.41,0,3,0,Cincinnati,Cincinnati,2018
11,Missouri Valley Conference,10,186,145,0.562,2.43,1.61,0,1,1,Loyola (IL),Loyola (IL),2018
12,Atlantic Sun Conference,8,118,140,0.457,-9.15,-4.72,0,1,0,Florida Gulf Coast,Lipscomb,2018
13,Colonial Athletic Association,10,167,156,0.517,-3.06,-2.14,0,1,0,"College of Charleston, Northeastern",College of Charleston,2018
14,Metro Atlantic Athletic Conference,11,164,191,0.462,-4.8,-3.48,0,1,0,"Canisius, Rider",Iona,2018
15,America East Conference,9,145,147,0.497,-5.62,-4.4,0,1,0,Vermont,Maryland-Baltimore County,2018
16,Big Sky Conference,12,198,195,0.504,-3.55,-2.0,0,1,0,Montana,Montana,2018
17,Ohio Valley Conference,12,190,191,0.499,-5.25,-3.54,0,1,0,Murray State,Murray State,2018
18,Mountain West Conference,11,198,163,0.548,4.43,3.05,0,2,0,Nevada,San Diego State,2018
19,Sun Belt Conference,12,201,194,0.509,-2.96,-2.68,0,1,0,Louisiana,Georgia State,2018
20,Summit League,8,134,122,0.523,-2.89,-1.41,0,1,0,South Dakota State,South Dakota State,2018
21,Big South Conference,10,164,166,0.497,-7.38,-5.26,0,1,0,UNC Asheville,Radford,2018
22,Western Athletic Conference,8,133,130,0.506,-3.81,-1.77,0,1,0,New Mexico State,New Mexico State,2018
23,Mid-American Conference,12,219,181,0.548,-2.01,-1.88,0,1,0,"Buffalo (East), Toledo (West)",Buffalo,2018
24,Ivy League,8,109,125,0.466,-4.65,-3.07,0,1,0,"Harvard, Pennsylvania",Pennsylvania,2018
25,Southland Conference,13,201,215,0.483,-9.29,-5.77,0,1,0,"Nicholls State, Southeastern Louisiana",Stephen F. Austin,2018
26,Horizon League,10,154,177,0.465,-5.88,-3.58,0,1,0,Northern Kentucky,Wright State,2018
27,Southern Conference,10,168,161,0.511,-5.23,-3.38,0,1,0,UNC Greensboro,UNC Greensboro,2018
28,Big West Conference,9,139,148,0.484,-4.2,-1.68,0,1,0,UC Davis,Cal State Fullerton,2018
29,Mid-Eastern Athletic Conference,13,162,265,0.379,-16.74,-9.52,0,1,0,"Bethune-Cookman, Hampton, Savannah State",North Carolina Central,2018
30,Patriot League,10,145,169,0.462,-7.77,-5.83,0,1,0,Bucknell,Bucknell,2018
31,Northeast Conference,10,146,174,0.456,-9.84,-6.89,0,1,0,Wagner,Long Island University,2018
32,Southwest Athletic Conference,10,116,211,0.355,-15.97,-8.63,0,1,0,Grambling,Texas Southern,2018
1,Big 12 Conference,10,216,137,0.612,14.82,10.54,0,6,1,"Kansas State, Texas Tech",Iowa State,2019
2,American Athletic Conference,12,239,169,0.586,7.03,4.21,0,4,0,Houston,Cincinnati,2019
3,Southeastern Conference,14,283,197,0.59,12.73,9.29,0,7,1,Louisiana State,Auburn,2019
4,Big East Conference,10,202,142,0.587,9.92,6.96,0,4,0,Villanova,Villanova,2019
5,Big Ten Conference,14,290,195,0.598,15.12,10.82,0,8,1,"Michigan State, Purdue",Michigan State,2019
6,Pac-12 Conference,12,217,181,0.545,7.07,5.25,0,3,0,Washington,Oregon,2019
7,Atlantic 10 Conference,14,235,227,0.509,1.47,0.83,0,2,0,Virginia Commonwealth,Saint Louis,2019
8,West Coast Conference,10,191,142,0.574,4.99,2.24,0,2,0,Gonzaga,Saint Mary's (CA),2019
9,Atlantic Coast Conference,15,316,198,0.615,14.17,9.06,0,7,1,"North Carolina, Virginia",Duke,2019
10,Mid-American Conference,12,226,172,0.568,3.0,1.6,0,1,0,"Buffalo (East), Toledo (West)",Buffalo,2019
11,Colonial Athletic Association,10,163,165,0.497,-4.53,-3.12,0,1,0,Hofstra,Northeastern,2019
12,Ohio Valley Conference,12,190,192,0.497,-5.82,-3.73,0,2,0,"Belmont, Murray State",Murray State,2019
13,Conference USA,14,244,217,0.529,-1.76,-1.1,0,1,0,Old Dominion,Old Dominion,2019
14,Missouri Valley Conference,10,171,159,0.518,-0.69,-0.23,0,1,0,"Drake, Loyola (IL)",Bradley,2019
15,Ivy League,8,132,109,0.548,-1.46,-1.58,0,1,0,"Harvard, Yale",Yale,2019
16,Southland Conference,13,198,217,0.477,-10.05,-6.1,0,1,0,Sam Houston State,Abilene Christian,2019
17,Big South Conference,11,181,183,0.497,-6.03,-4.25,0,1,0,"Campbell, Radford",Gardner-Webb,2019
18,Sun Belt Conference,12,204,190,0.518,-1.74,-1.14,0,1,0,Georgia State,Georgia State,2019
19,Patriot League,10,157,163,0.491,-5.57,-4.61,0,1,0,"Bucknell, Colgate",Colgate,2019
20,Mountain West Conference,11,183,175,0.511,1.49,1.12,0,2,0,"Nevada, Utah State",Utah State,2019
21,Atlantic Sun Conference,9,145,155,0.483,-5.36,-2.55,0,1,0,"Liberty, Lipscomb",Liberty,2019
22,Western Athletic Conference,9,161,142,0.531,-3.01,-2.14,0,1,0,New Mexico State,New Mexico State,2019
23,Big Sky Conference,11,170,186,0.478,-8.25,-5.81,0,1,0,Montana,Montana,2019
24,Southern Conference,10,178,150,0.543,-0.71,-0.6,0,1,0,Wofford,Wofford,2019
25,Horizon League,10,158,173,0.477,-3.34,-1.66,0,1,0,"Northern Kentucky, Wright State",Northern Kentucky,2019
26,Metro Atlantic Athletic Conference,11,150,203,0.425,-9.08,-6.58,0,1,0,Iona,Iona,2019
27,America East Conference,9,137,155,0.469,-8.04,-5.55,0,1,0,Vermont,Vermont,2019
28,Summit League,9,136,150,0.476,-5.49,-3.38,0,1,0,South Dakota State,North Dakota State,2019
29,Mid-Eastern Athletic Conference,12,151,238,0.388,-16.0,-9.2,0,1,0,Norfolk State,North Carolina Central,2019
30,Big West Conference,9,142,153,0.481,-4.77,-2.74,0,1,0,UC Irvine,UC Irvine,2019
31,Northeast Conference,10,148,174,0.46,-10.81,-7.47,0,1,0,"Fairleigh Dickinson, Saint Francis (PA)",Fairleigh Dickinson,2019
32,Southwest Athletic Conference,10,129,200,0.392,-14.78,-8.26,0,1,0,Prairie View,Prairie View,2019
1,Big 12 Conference,10,188,125,0.601,14.4,10.02,1,0,0,Kansas,,2020
2,Pac-12 Conference,12,226,152,0.598,11.47,7.66,0,0,0,Oregon,,2020
3,West Coast Conference,10,191,136,0.584,5.79,3.33,1,0,0,Gonzaga,Gonzaga,2020
4,Big East Conference,10,195,117,0.625,13.66,9.19,1,0,0,"Creighton, Seton Hall, Villanova",,2020
5,Big Ten Conference,14,255,181,0.585,15.12,10.49,1,0,0,"Maryland, Michigan State, Wisconsin",,2020
6,Southeastern Conference,14,254,183,0.581,10.76,7.36,0,0,0,Kentucky,,2020
7,Atlantic 10 Conference,14,244,189,0.564,4.73,2.69,0,0,0,Dayton,,2020
8,Mid-American Conference,12,211,169,0.555,0.14,-0.51,0,0,0,"Akron (East), Ball State (West), Northern Illinois (West)",,2020
9,Missouri Valley Conference,10,177,147,0.546,1.95,0.96,0,0,0,Northern Iowa,Bradley,2020
10,American Athletic Conference,12,213,155,0.579,8.1,4.75,0,0,0,"Cincinnati, Houston, Tulsa",,2020
11,Big Sky Conference,11,174,168,0.509,-3.07,-2.08,0,0,0,Eastern Washington,,2020
12,Atlantic Coast Conference,15,276,197,0.584,11.06,7.73,0,0,0,Florida State,,2020
13,Colonial Athletic Association,10,168,156,0.519,-3.06,-2.43,0,0,0,Hofstra,Hofstra,2020
14,Southern Conference,10,178,147,0.548,-1.62,-1.73,0,0,0,East Tennessee State,East Tennessee State,2020
15,Mountain West Conference,11,190,162,0.54,5.24,4.02,0,0,0,San Diego State,Utah State,2020
16,Sun Belt Conference,12,197,185,0.516,-0.78,-0.34,0,0,0,Little Rock,,2020
17,Conference USA,14,225,213,0.514,-0.24,-0.1,0,0,0,North Texas,,2020
18,Ohio Valley Conference,12,180,202,0.471,-7.62,-5.54,0,0,0,"Belmont, Murray State",Belmont,2020
19,Southland Conference,13,188,214,0.468,-9.42,-5.92,0,0,0,Stephen F. Austin,,2020
20,Patriot League,10,153,166,0.48,-7.35,-5.55,0,0,0,Colgate,Boston University,2020
21,Ivy League,8,114,112,0.504,-2.15,-1.77,0,0,0,Yale,,2020
22,Northeast Conference,11,159,189,0.457,-9.04,-6.32,0,0,0,Merrimack,Robert Morris,2020
23,Western Athletic Conference,9,130,141,0.48,-7.12,-4.05,0,0,0,New Mexico State,,2020
24,Metro Atlantic Athletic Conference,11,157,180,0.466,-6.83,-5.64,0,0,0,Siena,,2020
25,Big South Conference,11,166,189,0.468,-9.86,-6.81,0,0,0,"Radford, Winthrop",Winthrop,2020
26,America East Conference,9,141,145,0.493,-6.96,-5.06,0,0,0,Vermont,,2020
27,Big West Conference,9,134,148,0.475,-4.26,-1.87,0,0,0,UC Irvine,,2020
28,Summit League,9,141,142,0.498,-4.29,-2.68,0,0,0,"North Dakota State, South Dakota State",North Dakota State,2020
29,Mid-Eastern Athletic Conference,11,131,208,0.386,-14.34,-8.36,0,0,0,North Carolina Central,,2020
